id,data_hora,valor,moeda,tipo_operacao,cliente_nome,cliente_documento,cliente_conta_origem,destino_instituicao,destino_chave_pix,seguranca_ip_origem,seguranca_dispositivo,metadata_source
TXB-998877000-BR,2026-01-27T13:00:00.000Z,"R$ 3344,69",BRL,PIX_SAIDA,  Roney Teste  ,45910120372,79616-5,Banco Central,auditoria@pix.com,189.10.25.0,iPhone,AWS_SA_EAST_1
TXB-998877001-BR,2026-01-27T13:01:00.000Z,3220.27,BRL,PIX_SAIDA,  Ana Silva  ,459.101.203-72,79616-5,Banco Central,auditoria@pix.com,189.10.25.1,iPhone,AZURE_BRAZIL_SOUTH
TXB-998877002-BR,2026-01-27T13:02:00.000Z,"R$ 237,33",BRL,PIX_SAIDA,  Carlos Souza  ,459.101.203-72,79616-5,Banco Central,auditoria@pix.com,189.10.25.2,iPhone,AWS_SA_EAST_1
TXB-998877003-BR,2026-01-27T13:03:00.000Z,4298.15,BRL,PIX_SAIDA,  Maria Oliveira  ,45910120372,79616-5,Banco Central,auditoria@pix.com,189.10.25.3,iPhone,AZURE_BRAZIL_SOUTH
TXB-998877004-BR,2026-01-27T13:04:00.000Z,"R$ 2575,31",BRL,PIX_SAIDA,  Ricardo Santos  ,459.101.203-72,79616-5,Banco Central,auditoria@pix.com,189.10.25.4,iPhone,AWS_SA_EAST_1
TXB-998877005-BR,2026-01-27T13:05:00.000Z,2734.49,BRL,PIX_SAIDA,  Bruno Lima  ,459.101.203-72,79616-5,Banco Central,auditoria@pix.com,189.10.25.5,iPhone,AZURE_BRAZIL_SOUTH
TXB-998877006-BR,2026-01-27T13:06:00.000Z,"R$ 1690,61",BRL,PIX_SAIDA,  Juliana Costa  ,45910120372,79616-5,Banco Central,auditoria@pix.com,189.10.25.6,iPhone,AWS_SA_EAST_1
TXB-998877007-BR,2026-01-27T13:07:00.000Z,4496.28,BRL,PIX_SAIDA,  Roney Teste  ,459.101.203-72,79616-5,Banco Central,auditoria@pix.com,189.10.25.7,iPhone,AZURE_BRAZIL_SOUTH
TXB-998877008-BR,2026-01-27T13:08:00.000Z,"R$ 1378,34",BRL,PIX_SAIDA,  Ana Silva  ,459.101.203-72,79616-5,Banco Central,auditoria@pix.com,189.10.25.8,iPhone,AWS_SA_EAST_1
TXB-998877009-BR,2026-01-27T13:09:00.000Z,2610.97,BRL,PIX_SAIDA,  Carlos Souza  ,45910120372,79616-5,Banco Central,auditoria@pix.com,189.10.25.9,iPhone,AZURE_BRAZIL_SOUTH
TXB-998877010-BR,2026-01-27T13:10:00.000Z,"R$ 2134,71",BRL,PIX_SAIDA,  Maria Oliveira  ,459.101.203-72,79616-5,Banco Central,auditoria@pix.com,189.10.25.10,iPhone,AWS_SA_EAST_1
TXB-998877011-BR,2026-01-27T13:11:00.000Z,395.07,BRL,PIX_SAIDA,  Ricardo Santos  ,459.101.203-72,79616-5,Banco Central,auditoria@pix.com,189.10.25.11,iPhone,AZURE_BRAZIL_SOUTH
TXB-998877012-BR,2026-01-27T13:12:00.000Z,"R$ 3900,36",BRL,PIX_SAIDA,  Bruno Lima  ,45910120372,79616-5,Banco Central,auditoria@pix.com,189.10.25.12,iPhone,AWS_SA_EAST_1
TXB-998877013-BR,2026-01-27T13:13:00.000Z,4865.91,BRL,PIX_SAIDA,  Juliana Costa  ,459.101.203-72,79616-5,Banco Central,auditoria@pix.com,189.10.25.13,iPhone,AZURE_BRAZIL_SOUTH
TXB-998877014-BR,2026-01-27T13:14:00.000Z,"R$ 2111,02",BRL,PIX_SAIDA,  Roney Teste  ,459.101.203-72,79616-5,Banco Central,auditoria@pix.com,189.10.25.14,iPhone,AWS_SA_EAST_1
TXB-998877015-BR,2026-01-27T13:15:00.000Z,3598.40,BRL,PIX_SAIDA,  Ana Silva  ,45910120372,79616-5,Banco Central,auditoria@pix.com,189.10.25.15,iPhone,AZURE_BRAZIL_SOUTH
TXB-998877016-BR,2026-01-27T13:16:00.000Z,"R$ 4557,61",BRL,PIX_SAIDA,  Carlos Souza  ,459.101.203-72,79616-5,Banco Central,auditoria@pix.com,189.10.25.16,iPhone,AWS_SA_EAST_1
TXB-998877017-BR,2026-01-27T13:17:00.000Z,4563.62,BRL,PIX_SAIDA,  Maria Oliveira  ,459.101.203-72,79616-5,Banco Central,auditoria@pix.com,189.10.25.17,iPhone,AZURE_BRAZIL_SOUTH
TXB-998877018-BR,2026-01-27T13:18:00.000Z,"R$ 602,02",BRL,PIX_SAIDA,  Ricardo Santos  ,45910120372,79616-5,Banco Central,auditoria@pix.com,189.10.25.18,iPhone,AWS_SA_EAST_1
TXB-998877019-BR,2026-01-27T13:19:00.000Z,4911.75,BRL,PIX_SAIDA,  Bruno Lima  ,459.101.203-72,79616-5,Banco Central,auditoria@pix.com,189.10.25.19,iPhone,AZURE_BRAZIL_SOUTH
TXB-998877020-BR,2026-01-27T13:20:00.000Z,"R$ 1290,31",BRL,PIX_SAIDA,  Juliana Costa  ,459.101.203-72,79616-5,Banco Central,auditoria@pix.com,189.10.25.20,iPhone,AWS_SA_EAST_1
TXB-998877021-BR,2026-01-27T13:21:00.000Z,4559.13,BRL,PIX_SAIDA,  Roney Teste  ,45910120372,79616-5,Banco Central,auditoria@pix.com,189.10.25.21,iPhone,AZURE_BRAZIL_SOUTH
TXB-998877022-BR,2026-01-27T13:22:00.000Z,"R$ 1550,24",BRL,PIX_SAIDA,  Ana Silva  ,459.101.203-72,79616-5,Banco Central,auditoria@pix.com,189.10.25.22,iPhone,AWS_SA_EAST_1
TXB-998877023-BR,2026-01-27T13:23:00.000Z,4501.76,BRL,PIX_SAIDA,  Carlos Souza  ,459.101.203-72,79616-5,Banco Central,auditoria@pix.com,189.10.25.23,iPhone,AZURE_BRAZIL_SOUTH
TXB-998877024-BR,2026-01-27T13:24:00.000Z,"R$ 2224,00",BRL,PIX_SAIDA,  Maria Oliveira  ,45910120372,79616-5,Banco Central,auditoria@pix.com,189.10.25.24,iPhone,AWS_SA_EAST_1
TXB-998877025-BR,2026-01-27T13:25:00.000Z,2822.69,BRL,PIX_SAIDA,  Ricardo Santos  ,459.101.203-72,79616-5,Banco Central,auditoria@pix.com,189.10.25.25,iPhone,AZURE_BRAZIL_SOUTH
